Repeat,Outer_Seed,Config,Top_K,Penalty,Class_Weight,C,Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,Balanced_Accuracy,F1,AUC
6,6042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.4099999999999999,0.6363636363635785,0.6190476190475896,0.46666666666663553,0.7647058823528963,0.625,0.6277056277056277,0.5384615384615384,0.7532467532467533
6,6042,C_Top300_L2_none,300,l2,None,0.1,0.49499999999999994,0.5454545454544959,0.6190476190475896,0.42857142857139796,0.7222222222221821,0.59375,0.5822510822510822,0.48,0.7272727272727273
7,7042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.33499999999999996,0.9999999999999091,0.47619047619045357,0.4999999999999773,0.9999999999999,0.65625,0.7380952380952381,0.6666666666666666,0.722943722943723
7,7042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.59,0.45454545454541323,0.809523809523771,0.5555555555554939,0.7391304347825766,0.6875,0.6320346320346321,0.5,0.7056277056277056
7,7042,C_Top300_L2_none,300,l2,None,0.1,0.37999999999999995,0.5454545454544959,0.6190476190475896,0.42857142857139796,0.7222222222221821,0.59375,0.5822510822510822,0.48,0.6883116883116883
8,8042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.48999999999999994,0.5454545454544959,0.7142857142856803,0.4999999999999583,0.7499999999999626,0.65625,0.6298701298701299,0.5217391304347826,0.735930735930736
8,8042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.43999999999999995,0.5454545454544959,0.666666666666635,0.46153846153842604,0.7368421052631192,0.625,0.606060606060606,0.5,0.7142857142857143
8,8042,C_Top300_L2_none,300,l2,None,0.1,0.285,0.8181818181817438,0.47619047619045357,0.44999999999997753,0.8333333333332639,0.59375,0.6471861471861472,0.5806451612903226,0.722943722943723
9,9042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.585,0.6363636363635785,0.7142857142856803,0.538461538461497,0.7894736842104848,0.6875,0.6753246753246753,0.5833333333333334,0.6536796536796536
9,9042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.565,0.7272727272726611,0.666666666666635,0.5333333333332978,0.8235294117646575,0.6875,0.696969696969697,0.6153846153846154,0.6796536796536796
9,9042,C_Top300_L2_none,300,l2,None,0.1,0.6,0.5454545454544959,0.7142857142856803,0.4999999999999583,0.7499999999999626,0.65625,0.6298701298701299,0.5217391304347826,0.6926406926406926
10,10042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.585,0.18181818181816528,0.7619047619047257,0.2857142857142449,0.6399999999999745,0.5625,0.47186147186147187,0.2222222222222222,0.5714285714285715
10,10042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.5549999999999999,0.45454545454541323,0.8571428571428164,0.6249999999999218,0.7499999999999688,0.71875,0.6558441558441558,0.5263157894736842,0.6926406926406926
10,10042,C_Top300_L2_none,300,l2,None,0.1,0.4099999999999999,0.6363636363635785,0.6190476190475896,0.46666666666663553,0.7647058823528963,0.625,0.6277056277056277,0.5384615384615384,0.7186147186147187
11,11042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.38999999999999996,0.7272727272726611,0.5714285714285443,0.47058823529409,0.7999999999999466,0.625,0.6493506493506493,0.5714285714285714,0.748917748917749
